"Adding...","Hinzufügen von..."
"Recently Ordered","Vor Kurzem Bestellte"
"%1 has been added to your Wish List.","%1 wurde zu Ihrer Wunschliste hinzugefügt."
"Are you sure you would like to remove this item from the shopping cart?","Sind Sie sicher, dass Sie diesen Artikel aus dem Warenkorb entfernen möchten?"
"Review & Payments","Review & Zahlungen"
"Create New Wish List","Erstellen Sie neue Wunschliste"
"Add to Cart","in den Warenkorb"
"Details","Produktdetails"
"Credit Card","Kreditkarte"
"Check/Money Order","Scheck/Geldbestellung"
"Apply Gift Card","Verwenden Sie Geschenkkarte"
"See Balance","Geschenkkarte Gleichgewicht"
"Continue to PayPal","Weiter zu PayPal"
"My Subscriptions","Meine Abonnements"
